"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2456883656","x1155924935639891968",2019-07-29 19:35:55,"Hela2Fritos","Si eres ""Seguidor"" o ""Te Gusta"" #MamáTapatía en cualquiera de nuestras redes sociales, esta semana les regalamos 2x1 en nuestros helados  #clericot y #capuchino en Mamá Tapatía https://t.co/mbEOTARkwe","Instagram",200,,,,FALSE,FALSE,0,0,"MamáTapatía clericot capuchino",,"instagram.com/p/B0gzqY-FlkY/…","https://t.co/mbEOTARkwe","https://www.instagram.com/p/B0gzqY-FlkY/?igshid=1u989vxbc7ucw",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/6d31e9257b83e23c.json","Iztapalapa","Iztapalapa, Distrito Federal","city","Mexico","MX","19.36209531 -99.11579587","-99.11579587 19.36209531","-99.140238 -98.9606835 -98.9606835 -99.140238 19.2846922 19.2846922 19.400885 19.400885","https://twitter.com/Hela2Fritos/status/1155924935639891968","Mama Tapatia","Héroes de Churubusco, Iztapala","Los mejores helados fritos y antojitos jaliscienses de la #CDMX","https://t.co/zOfcLsRTtr",FALSE,317,228,16,27405,52,2014-04-21 17:10:07,FALSE,"https://t.co/zOfcLsRTtr","http://www.facebook.com/pages/Mamá-Tapatía/319347401548479",,"https://pbs.twimg.com/profile_banners/2456883656/1399941640","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1066420198188728320/XpMLU-cF_normal.jpg"
"x1155832880846659585","x1155839436262801412",2019-07-29 13:56:10,"pu_spu","Capuchino😊
#capuchino #coffe #drawing #illutration #illutrator #colorpencil #photo #art https://t.co/wdbYu0oJGC","Twitter for Android",87,,,,FALSE,FALSE,0,0,"capuchino coffe drawing illutration illutrator colorpencil photo art",,,,,"http://pbs.twimg.com/media/EApd1W9U8AMOyAM.jpg","https://t.co/wdbYu0oJGC","https://twitter.com/pu_spu/status/1155839436262801412/photo/1","photo","http://pbs.twimg.com/media/EApd1W9U8AMOyAM.jpg","https://t.co/wdbYu0oJGC","https://twitter.com/pu_spu/status/1155839436262801412/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pu_spu/status/1155839436262801412","Pu'sPu","","Emotion can not explain",,FALSE,0,5,0,2,1,2019-07-29 13:30:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1155832880846659585/1564408666",,"http://pbs.twimg.com/profile_images/1155833294212100097/8LRShCSx_normal.jpg"
"x2749957430","x1155832990662049794",2019-07-29 13:30:33,"Antonio_Sotos","Si añadimos un poquito de azafrán al capuchino le dará un sabor parecido a la vainilla, pero sin calorías.
#café #capuchino #azafrán https://t.co/VpNSwhAXnS","Metricool",132,,,,FALSE,FALSE,1,0,"café capuchino azafrán",,,,,"http://pbs.twimg.com/media/EApX-oDX4AEKuKH.jpg","https://t.co/VpNSwhAXnS","https://twitter.com/Antonio_Sotos/status/1155832990662049794/photo/1","photo","http://pbs.twimg.com/media/EApX-oDX4AEKuKH.jpg","https://t.co/VpNSwhAXnS","https://twitter.com/Antonio_Sotos/status/1155832990662049794/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Antonio_Sotos/status/1155832990662049794","Antonio Sotos","Albacete","Empresa familiar dedicada a la comercialización del azafrán desde hace más de 100 años. Siendo pionera en el comercio internacional del azafrán.","http://t.co/arxJDKWYqJ",FALSE,2515,293,35,7139,393,2014-08-20 18:39:48,FALSE,"http://t.co/arxJDKWYqJ","http://antoniosotos.com/",,"https://pbs.twimg.com/profile_banners/2749957430/1546938227","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/506400014713626624/kbDvChlz_normal.jpeg"
"x229705330","x1155655100020342784",2019-07-29 01:43:41,"Camus_Mu","Buenas noches ... #capuchino #deflojo #descansar #BuenasNochesMundo https://t.co/v71JWuN2QP","Twitter for iPhone",67,,,,FALSE,FALSE,28,0,"capuchino deflojo descansar BuenasNochesMundo",,,,,"http://pbs.twimg.com/media/EAm2Lh0WsAE5kls.jpg","https://t.co/v71JWuN2QP","https://twitter.com/Camus_Mu/status/1155655100020342784/photo/1","photo","http://pbs.twimg.com/media/EAm2Lh0WsAE5kls.jpg","https://t.co/v71JWuN2QP","https://twitter.com/Camus_Mu/status/1155655100020342784/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/07d9d6be03480001.json","Marina Park All Inclusive","Marina Park All Inclusive","poi","Mexico","MX","NA NA","NA NA","-99.1847991603688 -99.1847991603688 -99.1847991603688 -99.1847991603688 19.4532571158836 19.4532571158836 19.4532571158836 19.4532571158836","https://twitter.com/Camus_Mu/status/1155655100020342784","Saul Herrera","Miguel Hidalgo, Distrito Federal","Médico del Trabajo, Docente",,FALSE,1579,1246,1,1124,1253,2010-12-23 03:28:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/229705330/1543276333","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1145344869113782272/0GhvhJBg_normal.jpg"
"x122210678","x1155453277863055362",2019-07-28 12:21:43,"ruthmaritoledo","27jul 9:50pm #caracas #sinluz alrededores de la plaza #capuchino, #sanmartín por falla eléctrica - —ReporteYa https://t.co/IAAmRGkQa4","Twitter for Android",140,,,,FALSE,TRUE,0,5,"caracas sinluz capuchino sanmartín",,,,,,,,,,,,,"x1191914394","retioCCS","es",,,,,,,,,,,,,,,,"x1155296828096565250","27jul 9:50pm #caracas #sinluz alrededores de la plaza #capuchino, #sanmartín por falla eléctrica - —ReporteYa https://t.co/IAAmRGkQa4",2019-07-28 02:00:02,"RET.IO Publishers",0,5,"x1191914394","retioCCS","retioCCS",12555,1,134558,"Caracas, Venezuela","Una liga de ciudadanos haciendo periodismo de calle con Twitter. Los reporteros somos todos, colabora poniendo @retioCCS",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ruthmaritoledo/status/1155453277863055362","tatiana","ÜT: 10.493393,-66.913966","Creo en el KARMA. lo q c hace se paga aqui en la tierra....",,FALSE,234,1265,4,18610,120,2010-03-12 00:06:04,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/442488007422410752/MqGcj4fN_normal.jpeg"
"x1155327182996168704","x1155328967987085312",2019-07-28 04:07:45,"olgarondon23","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS","Twitter Web App",124,,,,FALSE,TRUE,0,11,"27Jul Caracas SinLuz capuchino SanMartín",,,,,,,,,,,,,"x221378668 x1191914394","ReporteYa retioCCS","es",,,,,,,,,,,,,,,,"x1155296628372381696","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS",2019-07-28 01:59:15,"Twitter Web Client",2,11,"x221378668","ReporteYa","Reporte Ya",699959,89746,556694,"Venezuela","Red venezolana de Periodismo Ciudadano. Dictamos Talleres para el uso de redes sociales. Pioneros en alfabetización digital.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/olgarondon23/status/1155328967987085312","Olgarondon23","","-21
- Venezolana hasta los tuetanos 
-Estudiante - 
-Dirigente Juvenil De @Pr1meroJusticia @jovenespjccs
- Secretaria Juvenil Pq Sucre .
- @asambleave",,FALSE,2,62,0,8,0,2019-07-28 04:00:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/1155327182996168704/1564286957",,"http://pbs.twimg.com/profile_images/1155327532172029952/NYySZ8mT_normal.jpg"
"x345203659","x1155318888734842880",2019-07-28 03:27:42,"athleck","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS","Twitter for Android",124,,,,FALSE,TRUE,0,11,"27Jul Caracas SinLuz capuchino SanMartín",,,,,,,,,,,,,"x221378668 x1191914394","ReporteYa retioCCS","es",,,,,,,,,,,,,,,,"x1155296628372381696","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS",2019-07-28 01:59:15,"Twitter Web Client",2,11,"x221378668","ReporteYa","Reporte Ya",699959,89746,556694,"Venezuela","Red venezolana de Periodismo Ciudadano. Dictamos Talleres para el uso de redes sociales. Pioneros en alfabetización digital.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/athleck/status/1155318888734842880","Francisco Codazi","Caracas","",,FALSE,985,409,10,66423,4354,2011-07-30 06:20:02,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1729171611/rata_1_normal.JPG"
"x345203659","x1155318819151372288",2019-07-28 03:27:25,"athleck","27jul 9:50pm #caracas #sinluz alrededores de la plaza #capuchino, #sanmartín por falla eléctrica - —ReporteYa https://t.co/IAAmRGkQa4","Twitter for Android",140,,,,FALSE,TRUE,0,5,"caracas sinluz capuchino sanmartín",,,,,,,,,,,,,"x1191914394","retioCCS","es",,,,,,,,,,,,,,,,"x1155296828096565250","27jul 9:50pm #caracas #sinluz alrededores de la plaza #capuchino, #sanmartín por falla eléctrica - —ReporteYa https://t.co/IAAmRGkQa4",2019-07-28 02:00:02,"RET.IO Publishers",0,5,"x1191914394","retioCCS","retioCCS",12555,1,134558,"Caracas, Venezuela","Una liga de ciudadanos haciendo periodismo de calle con Twitter. Los reporteros somos todos, colabora poniendo @retioCCS",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/athleck/status/1155318819151372288","Francisco Codazi","Caracas","",,FALSE,985,409,10,66423,4354,2011-07-30 06:20:02,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1729171611/rata_1_normal.JPG"
"x2985605814","x1155309411805609985",2019-07-28 02:50:03,"prayermanuel","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS","Twitter Web App",124,,,,FALSE,TRUE,0,11,"27Jul Caracas SinLuz capuchino SanMartín",,,,,,,,,,,,,"x221378668 x1191914394","ReporteYa retioCCS","es",,,,,,,,,,,,,,,,"x1155296628372381696","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS",2019-07-28 01:59:15,"Twitter Web Client",2,11,"x221378668","ReporteYa","Reporte Ya",699959,89746,556694,"Venezuela","Red venezolana de Periodismo Ciudadano. Dictamos Talleres para el uso de redes sociales. Pioneros en alfabetización digital.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/prayermanuel/status/1155309411805609985","ALEGRIA","","",,FALSE,1,45,0,218,1,2015-01-16 13:00:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/2985605814/1464199678","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/735538870541004801/CNWRC3jy_normal.jpg"
"x2292217353","x1155305618326085632",2019-07-28 02:34:58,"EvelynR56375108","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS","Twitter for Android",124,,,,FALSE,TRUE,0,11,"27Jul Caracas SinLuz capuchino SanMartín",,,,,,,,,,,,,"x221378668 x1191914394","ReporteYa retioCCS","es",,,,,,,,,,,,,,,,"x1155296628372381696","#27Jul 9:50pm #Caracas
#SinLuz alrededores de la plaza #capuchino, #SanMartín por falla eléctrica - @retioCCS",2019-07-28 01:59:15,"Twitter Web Client",2,11,"x221378668","ReporteYa","Reporte Ya",699959,89746,556694,"Venezuela","Red venezolana de Periodismo Ciudadano. Dictamos Talleres para el uso de redes sociales. Pioneros en alfabetización digital.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EvelynR56375108/status/1155305618326085632","Evelyn Rivas","","",,FALSE,472,543,8,79829,19867,2014-01-19 19:29:08,FALSE,,,,"https://pbs.twimg.com/profile_banners/2292217353/1402516372","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/476814346820272128/tLC8eVhv_normal.jpeg"
"x2593404498","x1155300879593091072",2019-07-28 02:16:08,"710_san","27jul 9:50pm #caracas #sinluz alrededores de la plaza #capuchino, #sanmartín por falla eléctrica - —ReporteYa https://t.co/IAAmRGkQa4","Twitter Web App",140,,,,FALSE,TRUE,0,5,"caracas sinluz capuchino sanmartín",,,,,,,,,,,,,"x1191914394","retioCCS","es",,,,,,,,,,,,,,,,"x1155296828096565250","27jul 9:50pm #caracas #sinluz alrededores de la plaza #capuchino, #sanmartín por falla eléctrica - —ReporteYa https://t.co/IAAmRGkQa4",2019-07-28 02:00:02,"RET.IO Publishers",0,5,"x1191914394","retioCCS","retioCCS",12555,1,134558,"Caracas, Venezuela","Una liga de ciudadanos haciendo periodismo de calle con Twitter. Los reporteros somos todos, colabora poniendo @retioCCS",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/710_san/status/1155300879593091072","JRS_710","Ia§ï","Los Monjes Restantes – Benno , Arlo y
Tasilo –","https://t.co/A29UtZAfA0",FALSE,104,614,0,5414,3011,2014-06-28 17:25:36,FALSE,"https://t.co/A29UtZAfA0","http://1335x.to",,"https://pbs.twimg.com/profile_banners/2593404498/1403976845","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/860020647598186496/0vkAeLbQ_normal.jpg"
