"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x138216138","x1155618784956301312",2019-07-28 23:19:23,"CHEJOslovacko","Al fin
#ChocolateCaliente
#EmpanadaCaprichosa en Plaza de San José de Maipo https://t.co/dMcTgpJrl6","Instagram",99,,,,FALSE,FALSE,0,0,"ChocolateCaliente EmpanadaCaprichosa",,"instagram.com/p/B0eocSxA90XP…","https://t.co/dMcTgpJrl6","https://www.instagram.com/p/B0eocSxA90XPUSFd-99kDyHCxQm-iczOw_Bx1w0/?igshid=1v4my0jea00h5",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CHEJOslovacko/status/1155618784956301312","CHEJO Slovacko","En AlgUna parte...","Un tipo simpatikon, too el Rato.","http://t.co/W4GFeVWKRQ",FALSE,156,1401,0,1937,117,2010-04-28 23:26:59,FALSE,"http://t.co/W4GFeVWKRQ","http://www.facebook.com/CHEJOslovacko",,"https://pbs.twimg.com/profile_banners/138216138/1421384161","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/635828210480074752/kC7nDIj5_normal.jpg"
"x1011028132147683328","x1155272209738264576",2019-07-28 00:22:13,"MalAbrigoPPT","#domingo de #chocolatecaliente☕️ #normando en el #parqueferroviario de #MalAbrigo 

Visitá a nuestros #artesanos de #ceramicas , #cuchilleria &amp; #lana 😍

Descubrí el encanto de #MalAbrigo , las #sierras y la… https://t.co/bluUZ3SkQs","Instagram",235,,,,FALSE,FALSE,0,0,"domingo chocolatecaliente normando parqueferroviario MalAbrigo artesanos ceramicas cuchilleria lana MalAbrigo sierras",,"instagram.com/p/B0cK1rwHJRV/…","https://t.co/bluUZ3SkQs","https://www.instagram.com/p/B0cK1rwHJRV/?igshid=1r7zu6xpxr0lh",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MalAbrigoPPT/status/1155272209738264576","Mal Abrigo turismo","Mal Abrigo, San José, Uruguay","Mal Abrigo, ubicado en la ruta 23 (km. 123) en el departamento de San José - Uruguay. Ganadora del Premio Pueblo Turístico 2015.","https://t.co/Rgbg0i4cAO",FALSE,55,169,0,160,23,2018-06-24 23:27:45,FALSE,"https://t.co/Rgbg0i4cAO","https://www.facebook.com/MalAbrigoPPT/notifications/",,"https://pbs.twimg.com/profile_banners/1011028132147683328/1531498411","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1017803813351231489/SKyznSNi_normal.jpg"
"x54638008","x1155216669784125442",2019-07-27 20:41:31,"MollyBoys","@akitalita @EspacioRombo @Museo_MAC Prepararé los submarinos de @PrietoChocolate ahoritas mismo! #chocolatecaliente https://t.co/1v3P6CtAHP","Twitter for iPhone",79,"x1155216371472408576","x88064239","akitalita",FALSE,FALSE,0,0,"chocolatecaliente",,,,,"http://pbs.twimg.com/tweet_video_thumb/EAgnbZEXsAAHE38.jpg","https://t.co/1v3P6CtAHP","https://twitter.com/MollyBoys/status/1155216669784125442/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EAgnbZEXsAAHE38.jpg","https://t.co/1v3P6CtAHP","https://twitter.com/MollyBoys/status/1155216669784125442/photo/1",,"x88064239 x1058023204772593664 x1249662192 x851049837466406912","akitalita EspacioRombo Museo_MAC PrietoChocolate","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MollyBoys/status/1155216669784125442","Maureen Boys","CHILE","Intento ser lo más parecido al personaje pelirrojo que habita en mi.","http://t.co/NkBoFZwkEK",FALSE,5046,1120,37,50144,97098,2009-07-07 18:44:45,FALSE,"http://t.co/NkBoFZwkEK","http://www.radioqueleo.cl",,"https://pbs.twimg.com/profile_banners/54638008/1493919008","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1120150007078903813/ycpSWv-Y_normal.jpg"
"x1154447950212403201","x1155120590048509954",2019-07-27 14:19:44,"FincaFresas","A todos nos gusta un rico chocolate 🍫
¡Los esperamos!
#sábado #fincasantaveracruzfresas #chocolatecaliente #cafédealtura https://t.co/cOBO7syCy4","Twitter for Android",120,,,,FALSE,FALSE,3,0,"sábado fincasantaveracruzfresas chocolatecaliente cafédealtura",,,,,"http://pbs.twimg.com/media/EAfQDOZXYAMHp1Q.jpg","https://t.co/cOBO7syCy4","https://twitter.com/FincaFresas/status/1155120590048509954/photo/1","photo","http://pbs.twimg.com/media/EAfQDOZXYAMHp1Q.jpg","https://t.co/cOBO7syCy4","https://twitter.com/FincaFresas/status/1155120590048509954/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FincaFresas/status/1155120590048509954","Finca Santa Veracruz Fresas","Tlacoquemecatl del Valle, Beni","Cafetería Finca Santa Veracruz
Café de altura.",,FALSE,10,2,0,9,11,2019-07-25 17:46:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/1154447950212403201/1564146551",,"http://pbs.twimg.com/profile_images/1154740758244671489/Ea21CBFU_normal.jpg"
"x162516937","x1154934432219844608",2019-07-27 02:00:00,"Naimaya","La vida sin amor no sabe igual #chocolatecaliente #churros con canela y azucar en Cineteca Nacional https://t.co/67Lel8KcWX","Instagram",123,,,,FALSE,FALSE,0,0,"chocolatecaliente churros",,"instagram.com/p/B0ZxPDblWOfx…","https://t.co/67Lel8KcWX","https://www.instagram.com/p/B0ZxPDblWOfx8Nri09JhG1SmcEECCL4hxFHhx40/?igshid=18ff5cdek58e1",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/7d93122509633720.json","Benito Juárez","Benito Juárez, Distrito Federal","city","Mexico","MX","19.36065023 -99.16466409","-99.16466409 19.36065023","-99.1919955 -99.1309649 -99.1309649 -99.1919955 19.357102 19.357102 19.4041235 19.4041235","https://twitter.com/Naimaya/status/1154934432219844608","Nai","Querétaro, Querétaro Arteaga","Amo los hot cakes, soy fansese mal plan de los detalles, mi pez que se llama #tiburoncin y tengo alérgia a la aspirina. #Nietzsche mi compañero de cuatro patas","https://t.co/EQzJPyK1LK",FALSE,1045,808,28,44685,832,2010-07-03 22:41:06,FALSE,"https://t.co/EQzJPyK1LK","http://www.naimaya.tumblr.com",,"https://pbs.twimg.com/profile_banners/162516937/1374169861","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/918494160897892352/OdG0eQw9_normal.jpg"
"x2548402963","x1154201485401612288",2019-07-25 01:27:32,"CoppeliaChile","🍰 Elige estas combinaciones perfectas para este clima tan frío 😊 
#chocolatecaliente #tortalibredeazucar 
👉🏼 https://t.co/Dh0w2JSQD1 

#coppeliachile #chile #chilelike #frio #invierno https://t.co/qSlq4bPAOx","Twitter for iPhone",183,,,,FALSE,FALSE,2,0,"chocolatecaliente tortalibredeazucar coppeliachile chile chilelike frio invierno",,"coppelia.cl/locales/","https://t.co/Dh0w2JSQD1","http://www.coppelia.cl/locales/","http://pbs.twimg.com/media/EASMIFnWkAYoZZj.jpg","https://t.co/qSlq4bPAOx","https://twitter.com/CoppeliaChile/status/1154201485401612288/photo/1","photo","http://pbs.twimg.com/media/EASMIFnWkAYoZZj.jpg","https://t.co/qSlq4bPAOx","https://twitter.com/CoppeliaChile/status/1154201485401612288/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CoppeliaChile/status/1154201485401612288","Coppelia","Las Garzas 930, Quilicura","¡Desde 1949! Ven a disfrutar el Aroma, el Calor y el Sabor de estar juntos 👨‍👩‍👧‍👦 ..Te esperamos! ☕️🥨🍨","https://t.co/7B6WTwEEeg",FALSE,732,2651,0,833,63,2014-06-05 16:19:15,FALSE,"https://t.co/7B6WTwEEeg","http://www.coppelia.cl",,"https://pbs.twimg.com/profile_banners/2548402963/1485290654","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1050048007398404096/t_w4fQyb_normal.jpg"
"x2884265811","x1154182070618513408",2019-07-25 00:10:23,"infiernogourmet","Días fríos, perfectos para un chocolate caliente. ☃️❄️
@infiernogourmet .
.
#chocolatecaliente☕️ #infiernogourmet #mielmonofloral #miel #cocinarencasaesdivertido #cocinaralgorico #barrioitaliachile #barrioitaliasantiago #parquearauco #lascondeschile #pro… https://t.co/91GxmZUsEO https://t.co/NBW8Gp2D8t","IFTTT",279,,,,FALSE,FALSE,0,0,"chocolatecaliente infiernogourmet mielmonofloral miel cocinarencasaesdivertido cocinaralgorico barrioitaliachile barrioitaliasantiago parquearauco lascondeschile pro",,"ift.tt/2XY3M3I","https://t.co/91GxmZUsEO","https://ift.tt/2XY3M3I","http://pbs.twimg.com/media/EAR6efZX4AAobgh.jpg","https://t.co/NBW8Gp2D8t","https://twitter.com/infiernogourmet/status/1154182070618513408/photo/1","photo","http://pbs.twimg.com/media/EAR6efZX4AAobgh.jpg","https://t.co/NBW8Gp2D8t","https://twitter.com/infiernogourmet/status/1154182070618513408/photo/1",,"x2884265811","infiernogourmet","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/infiernogourmet/status/1154182070618513408","Infierno Gourmet","Barrio Italia, Providencia, Santiago","Tienda de regalos y sabores gourmet de Arica a Chiloé, ideales para disfrutar un momento especial o hacer un regalo diferente a tus amigos.","http://t.co/IMgAaJJbZI",FALSE,156,109,13,868,4,2014-11-19 16:42:19,FALSE,"http://t.co/IMgAaJJbZI","http://www.infiernogourmet.cl",,"https://pbs.twimg.com/profile_banners/2884265811/1441459401","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/535112455081299968/fU2gDH5n_normal.jpeg"
"x826841097829810177","x1153946131614879749",2019-07-24 08:32:51,"angela_padi","#Laoctavavida #NinoHaratischwili #chocolatecaliente #paraBrilka @reinohueco ¡Maravilloso tener tiempo para este libro! ¡Parece que estás viviendo en la casa verde y que eres parte de esa familia! #Kitty Abro Hilo https://t.co/yIJDVxnlbf","Twitter for Android",140,,,,FALSE,TRUE,0,8,"Laoctavavida NinoHaratischwili chocolatecaliente paraBrilka",,,,,,,,,,,,,"x2478852091 x19884285","PuertoSierra reinohueco","es",,,,,,,,,,,,,,,,"x1153868217003257858","#Laoctavavida #NinoHaratischwili #chocolatecaliente #paraBrilka @reinohueco ¡Maravilloso tener tiempo para este libro! ¡Parece que estás viviendo en la casa verde y que eres parte de esa familia! #Kitty Abro Hilo https://t.co/yIJDVxnlbf",2019-07-24 03:23:15,"Twitter for iPhone",11,8,"x2478852091","PuertoSierra","Puerto García Sierra",3102,168,2450,"Salamanca, España","2005 - 2019 Proyecto: @Templvm #templvmsalamanca",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/angela_padi/status/1153946131614879749","hstlchch💖","","Feminista hasta la medula.♀

Elvus.
Lile y Stutch.
Harry Putter.
Me quejo y punto. 
Soy una bruja más en la lucha♀.",,FALSE,107,150,0,2902,12326,2017-02-01 17:14:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/826841097829810177/1527177688",,"http://pbs.twimg.com/profile_images/1126466192812720128/AcGfbyXa_normal.jpg"
"x1317603702","x1153869356968882177",2019-07-24 03:27:47,"Templvm","#Laoctavavida #NinoHaratischwili #chocolatecaliente #paraBrilka @reinohueco ¡Maravilloso tener tiempo para este libro! ¡Parece que estás viviendo en la casa verde y que eres parte de esa familia! #Kitty Abro Hilo https://t.co/yIJDVxnlbf","Twitter for iPhone",140,,,,FALSE,TRUE,0,8,"Laoctavavida NinoHaratischwili chocolatecaliente paraBrilka",,,,,,,,,,,,,"x2478852091 x19884285","PuertoSierra reinohueco","es",,,,,,,,,,,,,,,,"x1153868217003257858","#Laoctavavida #NinoHaratischwili #chocolatecaliente #paraBrilka @reinohueco ¡Maravilloso tener tiempo para este libro! ¡Parece que estás viviendo en la casa verde y que eres parte de esa familia! #Kitty Abro Hilo https://t.co/yIJDVxnlbf",2019-07-24 03:23:15,"Twitter for iPhone",11,8,"x2478852091","PuertoSierra","Puerto García Sierra",3102,168,2450,"Salamanca, España","2005 - 2019 Proyecto: @Templvm #templvmsalamanca",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Templvm/status/1153869356968882177","Templvm","Salamanca, España","Templvm es un proyecto de arte simbólico iconoclasta cristiano. @puertosierra #templvmsalamanca","https://t.co/NqHFBObr28",FALSE,2002,517,23,1494,1529,2013-03-31 03:10:43,FALSE,"https://t.co/NqHFBObr28","http://templvm.blogspot.com.es/?m=0",,"https://pbs.twimg.com/profile_banners/1317603702/1564422187","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1109551675172417536/bVGkYLq4_normal.jpg"
"x1028281606979694592","x1153869262198583297",2019-07-24 03:27:24,"ChiquiTemplvm","#Laoctavavida #NinoHaratischwili #chocolatecaliente #paraBrilka @reinohueco ¡Maravilloso tener tiempo para este libro! ¡Parece que estás viviendo en la casa verde y que eres parte de esa familia! #Kitty Abro Hilo https://t.co/yIJDVxnlbf","Twitter for iPhone",140,,,,FALSE,TRUE,0,8,"Laoctavavida NinoHaratischwili chocolatecaliente paraBrilka",,,,,,,,,,,,,"x2478852091 x19884285","PuertoSierra reinohueco","es",,,,,,,,,,,,,,,,"x1153868217003257858","#Laoctavavida #NinoHaratischwili #chocolatecaliente #paraBrilka @reinohueco ¡Maravilloso tener tiempo para este libro! ¡Parece que estás viviendo en la casa verde y que eres parte de esa familia! #Kitty Abro Hilo https://t.co/yIJDVxnlbf",2019-07-24 03:23:15,"Twitter for iPhone",11,8,"x2478852091","PuertoSierra","Puerto García Sierra",3102,168,2450,"Salamanca, España","2005 - 2019 Proyecto: @Templvm #templvmsalamanca",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChiquiTemplvm/status/1153869262198583297","ChiquiTemplvm","","",,FALSE,20,9,0,28,450,2018-08-11 14:06:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/1028281606979694592/1537393901",,"http://pbs.twimg.com/profile_images/1042531685521350661/GUUr0ipw_normal.jpg"
